Signal
20.491
9.8946
206.37
9.0608
45.83
232.75
127.83
60.352
4.3422
3.5743
184.76
2.9848
4.3777
72.283
22.279
195.27
86.332
8.8028
23.293
4.1351
42.199
333.23
16.354
6.8286
38.752
27.741
29.688
93.591
42.239
176.5
34.807
344.73
128.4
307.54
233.17
19.424
36.409
114.85
5.106
336.84
82.384
96.349
26.72
22.916
167.73
71.383
80.836
43.647
34.339
28.145
128.73
38.61
42.297
181.64
212.87
69.642
4.1089
107.77
53.569
149.69
28.599
136.61
68.13
35.799
11.552
4.156
60.291
197.6
190.18
135.67
17.35
136.93
20.545
141.25
7.3363
104.99
162.66
138.2
48.444
74.805
104.51
18.533
53.569
59.834
8.6437
125.23
27.813
28.272
96.641
56.595
257.89
291.97
63.337
24.953
6.8267
204.09
56.418
75.632
443.1
108.73
181.9
23.031
116.73
63.765
179.79
50.753
133.57
42.453
37.22
29.015
79.73
247.91
147.41
9.065
188.14
19.138
61.926
0.38728
254.88
81.491
223.82
3.8847
537.43
25.501
20.175
14.076
247.18
91.683
134.76
22.306
84.069
9.3599
170.46
133.26
192.73
199.46
14.008
54.524
59.809
193.13
15.896
47.473
104.71
66.699
91.178
257.75
142.75
209.3
169.33
142.73
87.403
300.27
10.235
5.6796
71.159
71.488
108.55
10.53
99.629
219.64
24.814
94.228
142.01
90.656
233.87
202.52
5.9696
4.4857
55.302
281.71
144.91
104.08
19.7
417.32
314.6
177.79
43.214
31.235
43.426
79.646
60.329
121.63
29.478
166.62
37.575
169.55
99.836
46.901
24.817
251.18
7.3231
25.397
71.992
83.044
80.568
118.3
67.627
67.183
20.135
22.963
